Price,Close,High,Low,Open,Volume
Ticker,^JKSE,^JKSE,^JKSE,^JKSE,^JKSE
Date,,,,,
2004-01-07,709.3394165039062,723.8958572053747,705.813552656543,723.8778525345252,33583800
2004-01-08,730.7864990234375,730.7864990234375,709.3353093332089,709.3353093332089,31361400
2004-01-09,753.6627197265625,756.7536029936755,734.5174678596876,734.5174678596876,33810700
2004-01-12,742.4771118164062,750.6877910969214,738.3982909204149,750.6877910969214,24320200
2004-01-13,743.1141357421875,745.2880625166404,738.0653206557712,743.9840970617937,11246100
2004-01-14,756.5335083007812,756.5335083007812,739.7591985694899,742.0301061723653,16628700
2004-01-15,763.4232177734375,764.0121840525768,756.6704905101992,756.6704905101992,16974900
2004-01-16,770.303955078125,771.2579584148906,763.5052088879255,763.5052088879255,23985800
2004-01-19,766.453125,775.4868308387098,761.5363242759709,770.3039882284338,14904500
2004-01-20,773.0949096679688,773.0949096679688,767.2631664357218,767.8921092412215,16024800
2004-01-21,776.2708129882812,777.360736388856,772.3229685912167,773.0949112035177,13729700
2004-01-23,785.8484497070312,785.8484497070312,776.1637679596541,776.1637679596541,14705400
2004-01-26,786.8433837890625,786.8433837890625,776.3637503616434,782.5115212216097,13603700
2004-01-27,772.4639892578125,788.2233863817851,764.8562527796349,786.8514304388011,18847800
2004-01-28,767.0771484375,778.8006913098121,765.5172115744624,771.997977480861,18234300
2004-01-29,759.6143798828125,764.4382275427727,755.4725735149061,763.3752806843916,19133000
2004-01-30,752.9027099609375,758.1164963404154,746.0609962045506,758.1164963404154,19108600
2004-02-03,730.29052734375,748.455835490522,725.1947785405625,748.455835490522,22191500
2004-02-04,730.24658203125,736.4282870607285,727.683632539194,732.7634517750979,13932000
2004-02-05,736.4393920898438,736.4393920898438,727.7027321731531,732.0325199284666,6728700
2004-02-06,758.8944091796875,758.8944091796875,736.7842486773204,736.7842486773204,13411400
2004-02-09,767.2251586914062,767.2251586914062,761.0833688075068,761.0833688075068,12828500
2004-02-10,766.7411499023438,770.4079993539406,765.0101992149813,767.2061586568664,6483900
2004-02-11,769.7630615234375,772.0899362660462,765.1191993486018,767.1271167822302,10293500
2004-02-12,766.05322265625,773.3189313668822,761.8863924805844,769.9900813047609,22811300
2004-02-13,773.1099243164062,773.1099243164062,765.5981927559016,766.1932013357609,9743900
2004-02-16,775.19482421875,775.19482421875,767.5371630807299,773.0889490959597,27904000
2004-02-17,776.9688110351562,777.2927730472809,771.9339726349664,775.1068839244017,33368000
2004-02-18,785.8764038085938,786.1284081632085,777.4257438559877,777.4257438559877,35865700
2004-02-19,789.4013061523438,789.9293007547726,785.1764338411732,786.0684279591363,17840500
2004-02-20,794.4360961914062,796.0390612197176,789.5053186376351,790.8682417280714,6620800
2004-02-24,780.72265625,794.8871449604742,777.4227966709359,794.8871449604742,23033300
2004-02-25,777.0227661132812,780.5476534717519,774.0219062309998,778.8367214615014,20511300
2004-02-26,775.98583984375,779.4377320857187,772.3669619026047,777.1408242630544,28317700
2004-02-27,761.0513916015625,775.9798270545765,756.852580310232,775.9798270545765,22220300
2004-03-01,758.9763793945312,761.5923051986595,749.2378065874549,760.8663203303618,20263500
2004-03-02,779.7156372070312,779.7156372070312,760.6184187496137,760.6184187496137,22686600
2004-03-03,776.7957763671875,781.1995967858736,776.7957763671875,780.7166443782364,13461400
2004-03-04,774.7378540039062,780.2396540441607,771.0429904769555,777.3307706705008,18645300
2004-03-05,777.9796752929688,780.0106019637846,773.8578267320376,775.4637821800835,17835600
2004-03-08,772.837890625,778.4587044942648,769.8580261768434,778.4587044942648,17670600
2004-03-09,771.0479736328125,773.131876847949,765.6831923356448,768.3751040977936,11391400
2004-03-10,760.2974243164062,770.4720159633813,752.1457031280642,770.4239831655614,11808900
2004-03-11,741.1691284179688,759.6764031378357,737.9412268057396,759.6764031378357,13899800
2004-03-12,738.1232299804688,738.1232299804688,723.5518370407867,733.7714097239707,11050300
2004-03-15,724.122802734375,741.8881021424672,722.2508663525612,739.7702036590359,9974700
2004-03-16,716.149169921875,720.6439903548095,700.1488151884458,720.6439903548095,13743400
2004-03-17,730.5565185546875,730.5565185546875,716.2280370678646,716.2280370678646,12169000
2004-03-18,733.5414428710938,736.8693162118085,729.6296078951232,730.8225546052727,12217400
2004-03-19,742.8851318359375,742.8851318359375,731.9095451800803,732.3835257839216,5419600
2004-03-23,736.4133911132812,736.4133911132812,725.1688330888569,734.6394732517115,6077600
2004-03-24,738.7642822265625,738.7642822265625,734.3224384706109,736.4133605244616,11879500
2004-03-25,727.07470703125,740.0931818817718,720.8879362936248,739.284192396656,7014200
2004-03-26,714.1012573242188,731.6135767682505,708.4004292215285,729.324664317924,18134600
2004-03-29,716.89306640625,718.558956037385,710.5842914107736,714.8471256766326,5200900
2004-03-30,730.0325317382812,730.0325317382812,718.7710076015017,718.7710076015017,6395700
2004-03-31,735.6483764648438,735.8283621370375,726.1617460960948,733.4874498084541,6835900
2004-04-01,737.624267578125,737.624267578125,729.7425557104807,735.6493079274765,7082000
2004-04-02,750.6227416992188,750.6227416992188,739.6091936126962,739.6091936126962,26875100
2004-04-06,771.5179443359375,771.6879816629964,757.0125274756388,757.0125274756388,34088700
2004-04-07,774.3688354492188,779.5786545687098,769.5000675034453,771.7089658712318,15212700
2004-04-08,779.586669921875,782.0025915410241,772.1759475380757,774.4178646974381,22430400
2004-04-12,767.7821655273438,777.7307534027319,762.0763936769205,777.7307534027319,8080300
2004-04-13,771.708984375,773.8538594081687,768.6060777737907,769.6480294161166,8151100
2004-04-14,777.9576416015625,777.9576416015625,769.0500299467692,771.2409235223722,16539400
2004-04-15,772.9569091796875,773.3738851347885,767.8430945827898,773.3018664540188,19313400
2004-04-16,776.5418090820312,776.6107761253382,771.2699804981986,774.0939062741037,20813700
2004-04-19,784.8084106445312,784.8084106445312,775.7607895356001,776.599746105016,17652500
2004-04-20,810.827392578125,810.827392578125,785.1933823473973,785.1933823473973,18998800
2004-04-21,814.1713256835938,824.4768939595565,809.319524708203,810.31948580237,24125300
2004-04-22,804.3956909179688,810.9284566501389,801.0167941209321,810.9284566501389,14634500
2004-04-23,815.4122314453125,815.4122314453125,807.1995994453406,807.1995994453406,10118900
2004-04-26,811.71337890625,814.550243508118,806.978577975037,812.8383350892416,7443900
2004-04-27,818.1271362304688,818.1271362304688,811.6763986722192,813.4893163529572,5202100
2004-04-28,817.901123046875,819.0451214525472,813.3683406315708,818.3271318428413,9813300
2004-04-29,801.935791015625,812.9663678727311,796.1790568992761,812.9663678727311,11298600
2004-04-30,783.3825073242188,798.0868905525286,774.8457915420826,798.0868905525286,16186900
2004-05-04,779.5726928710938,786.351420798712,775.6808155019344,785.373431510155,7764700
2004-05-05,758.052490234375,781.4896281015406,755.0806209444211,781.2036284816214,18597600
2004-05-06,746.0879516601562,757.4755087159044,744.7659816534165,757.4755087159044,14122300
2004-05-07,743.6080932617188,748.619861165529,737.6542843720433,741.5861382360803,16821800
2004-05-10,707.1904907226562,733.6764592880625,703.854622033668,733.6764592880625,17993300
2004-05-11,718.2330322265625,718.2330322265625,698.5348242843843,698.5348242843843,19786100
2004-05-12,744.2620239257812,744.3829908933676,723.4677899911321,723.4677899911321,22509000
2004-05-13,739.1082763671875,746.7039282005286,733.3404953334858,738.43728195765,13448700
2004-05-14,722.6808471679688,738.5712196954261,716.1281237792582,738.5712196954261,13512100
2004-05-17,668.4509887695312,718.550053231943,665.933081338381,718.550053231943,17049600
2004-05-18,676.1256713867188,683.2323895131675,667.0060310891412,672.930788366432,16106500
2004-05-19,706.76953125,706.76953125,684.1723869382721,684.1723869382721,13560000
2004-05-21,724.90380859375,730.020613948195,712.3262949203921,712.7802567537874,10298900
2004-05-24,732.551513671875,732.551513671875,726.4847331274066,726.4847331274066,6487900
2004-05-25,717.1070556640625,727.1476798877687,707.6784070961813,727.1476798877687,9775200
2004-05-26,717.97705078125,725.7377349507569,716.3021282006107,724.9047595697648,8448000
2004-05-27,728.28466796875,728.28466796875,722.3649152560071,722.3649152560071,4422900
2004-05-28,733.96142578125,734.5574108873674,728.4566351349476,730.9925471840181,10659500
2004-05-31,732.4874877929688,732.4874877929688,722.5268768568657,731.8535402939136,3720900
2004-06-01,731.1735229492188,731.4835084236146,727.469626811266,731.4835084236146,4243000
2004-06-02,719.0139770507812,728.4406117113817,712.8212251765907,728.4406117113817,8102300
2004-06-04,697.9097900390625,707.9023812392501,689.5091167272517,707.9023812392501,11722600
2004-06-07,700.7576904296875,706.8905083003019,696.6558603808202,704.3055869668146,9804400
2004-06-08,703.5516357421875,707.016527933559,702.1487361647471,705.7575436612437,8389000
2004-06-09,709.7254028320312,710.0214118336135,703.3046319074031,704.0226215763953,8129700
2004-06-10,706.8135375976562,708.4164416195626,701.7237085260771,706.4545427586488,10711800
2004-06-11,704.0975341796875,706.6154413308869,700.3966897747116,706.3144276823664,5034400
2004-06-14,696.3109741210938,702.4617362563272,692.3691105867292,702.4617362563272,8258400
2004-06-15,707.3834838867188,707.3834838867188,692.8430340833265,696.104931076872,7826800
